 par_1      , par_2      , par_3      , par_4      , par_5      , par_6      , par_7      , par_8      , par_9      , par_10     , par_11     , par_12     , par_13     , par_14     , par_15     , par_16     , par_17     , par_18     , f_value    
 +8.00000000000e-01, +8.00000000000e-01, +6.00000000000e+00, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +2.00000000000e+00, +2.60504261521e+00
 +8.00000000000e-01, +8.00000000000e-01, +2.80801573083e+00, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +4.17903689045e+00, +8.00000000000e-01, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +2.00000000000e+00, +2.60799069042e+00
 +8.00000000042e-01, +8.00000000001e-01, +2.45661315969e+00, +8.00000000512e-01, +8.00000000980e-01, +8.00000000059e-01, +8.00000000047e-01, +3.41395519803e+00, +8.00000000819e-01, +5.99999999988e+00, +5.99999999999e+00, +5.99999999968e+00, +6.00000000000e+00, +5.99999987497e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +1.99999999999e+00, +2.62191176860e+00
 +8.00000000000e-01, +8.00000000000e-01, +6.00000000000e+00, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +5.16061288093e+00, +8.00000000000e-01, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +2.00000000000e+00, +2.65153444621e+00
 +8.00000000000e-01, +8.00000000000e-01, +6.00000000000e+00, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +2.00000000000e+00, +2.70710356559e+00
 +8.00000000000e-01, +8.00000000000e-01, +6.00000000000e+00, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +5.84054999899e+00, +8.00000000000e-01, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +2.94908183097e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +2.00000000000e+00, +2.72106490101e+00
 +8.00000000000e-01, +2.16842105263e+00, +3.26315789474e+00, +1.07368421053e+00, +4.08421052632e+00, +2.98947368421e+00, +4.63157894737e+00, +3.26315789474e+00, +8.00000000000e-01, +3.81052631579e+00, +6.00000000000e+00, +4.08421052632e+00, +4.08421052632e+00, +3.81052631579e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +1.57894736842e+00, +2.73804446051e+00
 +8.00000000000e-01, +8.00000000000e-01, +6.00000000000e+00, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +2.33480458163e+00, +8.00000000000e-01, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +2.40133132155e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +2.00000000000e+00, +2.77061368451e+00
 +8.00000000004e-01, +8.00000000003e-01, +3.04402996361e+00, +8.00000000042e-01, +8.00000000368e-01, +8.00000000003e-01, +8.00000000010e-01, +5.29403146551e+00, +8.00000000001e-01, +5.99999999999e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +2.99265243850e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +2.00000000000e+00, +2.81487757888e+00
 +8.00000000000e-01, +8.00000000000e-01, +6.00000000000e+00, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +2.00000000000e+00, +2.82991203493e+00
 +2.98947368421e+00, +8.00000000000e-01, +4.63157894737e+00, +4.08421052632e+00, +4.63157894737e+00, +1.62105263158e+00, +1.34736842105e+00, +4.63157894737e+00, +5.45263157895e+00, +4.63157894737e+00, +1.62105263158e+00, +4.90526315789e+00, +6.00000000000e+00, +4.63157894737e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +8.42105263158e-01, +2.87287227443e+00
 +1.07368421053e+00, +5.72631578947e+00, +4.08421052632e+00, +5.45263157895e+00, +3.26315789474e+00, +3.26315789474e+00, +3.53684210526e+00, +5.72631578947e+00, +3.81052631579e+00, +5.72631578947e+00, +4.90526315789e+00, +5.72631578947e+00, +2.71578947368e+00, +4.35789473684e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +6.31578947368e-01, +2.92362366362e+00
 +8.00000000000e-01, +4.73279273672e+00, +6.00000000000e+00, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +8.00000000000e-01, +3.41395530129e+00, +8.00000000000e-01, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +6.00000000000e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +2.00000000000e+00, +3.01160171727e+00
 +1.62105263158e+00, +2.98947368421e+00, +2.16842105263e+00, +2.16842105263e+00, +8.00000000000e-01, +2.16842105263e+00, +5.72631578947e+00, +6.00000000000e+00, +2.44210526316e+00, +4.08421052632e+00, +2.16842105263e+00, +2.16842105263e+00, +5.72631578947e+00, +3.26315789474e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +1.05263157895e-01, +3.07353947564e+00
 +1.89473684211e+00, +1.62105263158e+00, +1.07368421053e+00, +1.89473684211e+00, +1.07368421053e+00, +4.08421052632e+00, +1.62105263158e+00, +2.16842105263e+00, +4.90526315789e+00, +1.89473684211e+00, +3.26315789474e+00, +5.45263157895e+00, +1.89473684211e+00, +6.00000000000e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +1.36842105263e+00, +3.07940741493e+00
 +2.44210526316e+00, +4.63157894737e+00, +1.34736842105e+00, +4.90526315789e+00, +4.90526315789e+00, +8.00000000000e-01, +2.44210526316e+00, +2.44210526316e+00, +5.17894736842e+00, +2.16842105263e+00, +5.72631578947e+00, +1.34736842105e+00, +2.44210526316e+00, +4.08421052632e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +1.89473684211e+00, +3.21894168805e+00
 +5.72631578947e+00, +5.17894736842e+00, +6.00000000000e+00, +1.34736842105e+00, +1.62105263158e+00, +1.89473684211e+00, +2.16842105263e+00, +4.35789473684e+00, +3.26315789474e+00, +3.26315789474e+00, +3.81052631579e+00, +1.89473684211e+00, +4.35789473684e+00, +5.72631578947e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +1.47368421053e+00, +3.40598212084e+00
 +1.34736842105e+00, +4.35789473684e+00, +4.90526315789e+00, +6.00000000000e+00, +5.45263157895e+00, +5.17894736842e+00, +3.26315789474e+00, +1.34736842105e+00, +4.63157894737e+00, +2.98947368421e+00, +4.35789473684e+00, +6.00000000000e+00, +4.63157894737e+00, +2.16842105263e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +1.68421052632e+00, +3.45567733505e+00
 +3.81052631579e+00, +1.07368421053e+00, +3.81052631579e+00, +2.44210526316e+00, +4.35789473684e+00, +3.81052631579e+00, +8.00000000000e-01, +4.08421052632e+00, +1.07368421053e+00, +1.62105263158e+00, +4.63157894737e+00, +3.81052631579e+00, +2.16842105263e+00, +8.00000000000e-01, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +1.05263157895e+00, +3.66633765925e+00
 +2.71578947368e+00, +6.00000000000e+00, +5.45263157895e+00, +2.71578947368e+00, +2.16842105263e+00, +1.34736842105e+00, +4.90526315789e+00, +1.07368421053e+00, +1.34736842105e+00, +1.07368421053e+00, +2.71578947368e+00, +4.63157894737e+00, +1.07368421053e+00, +2.98947368421e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +4.21052631579e-01, +3.71023478284e+00
 +4.35789473684e+00, +1.34736842105e+00, +3.53684210526e+00, +3.53684210526e+00, +1.89473684211e+00, +3.53684210526e+00, +5.45263157895e+00, +2.98947368421e+00, +3.53684210526e+00, +3.53684210526e+00, +8.00000000000e-01, +3.26315789474e+00, +3.81052631579e+00, +1.07368421053e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +2.00000000000e+00, +3.75126981226e+00
 +4.08421052632e+00, +2.44210526316e+00, +2.98947368421e+00, +3.81052631579e+00, +5.17894736842e+00, +2.44210526316e+00, +3.81052631579e+00, +8.00000000000e-01, +4.35789473684e+00, +5.45263157895e+00, +1.34736842105e+00, +2.98947368421e+00, +2.98947368421e+00, +4.90526315789e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +1.78947368421e+00, +3.77225748828e+00
 +3.53684210526e+00, +3.81052631579e+00, +8.00000000000e-01, +2.98947368421e+00, +1.34736842105e+00, +5.72631578947e+00, +1.07368421053e+00, +3.53684210526e+00, +2.16842105263e+00, +6.00000000000e+00, +3.53684210526e+00, +1.07368421053e+00, +5.45263157895e+00, +3.53684210526e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +1.15789473684e+00, +3.81066371412e+00
 +4.90526315789e+00, +4.08421052632e+00, +5.17894736842e+00, +8.00000000000e-01, +5.72631578947e+00, +2.71578947368e+00, +2.98947368421e+00, +3.81052631579e+00, +2.71578947368e+00, +5.17894736842e+00, +4.08421052632e+00, +2.71578947368e+00, +8.00000000000e-01, +2.44210526316e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +7.36842105263e-01, +3.88660866553e+00
 +6.00000000000e+00, +3.53684210526e+00, +1.62105263158e+00, +5.72631578947e+00, +3.81052631579e+00, +1.07368421053e+00, +4.35789473684e+00, +4.90526315789e+00, +4.08421052632e+00, +4.35789473684e+00, +5.17894736842e+00, +3.53684210526e+00, +3.26315789474e+00, +1.34736842105e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +5.26315789474e-01, +4.17724911745e+00
 +3.26315789474e+00, +3.26315789474e+00, +1.89473684211e+00, +5.17894736842e+00, +3.53684210526e+00, +4.90526315789e+00, +1.89473684211e+00, +2.71578947368e+00, +1.62105263158e+00, +4.90526315789e+00, +1.07368421053e+00, +1.62105263158e+00, +1.62105263158e+00, +1.62105263158e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +3.15789473684e-01, +4.69934142859e+00
 +4.63157894737e+00, +5.45263157895e+00, +2.44210526316e+00, +3.26315789474e+00, +6.00000000000e+00, +4.63157894737e+00, +4.08421052632e+00, +5.17894736842e+00, +1.89473684211e+00, +8.00000000000e-01, +2.44210526316e+00, +5.17894736842e+00, +5.17894736842e+00, +5.17894736842e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +9.47368421053e-01, +4.77071983153e+00
 +5.17894736842e+00, +4.90526315789e+00, +2.71578947368e+00, +1.62105263158e+00, +2.98947368421e+00, +6.00000000000e+00, +2.71578947368e+00, +1.62105263158e+00, +6.00000000000e+00, +2.44210526316e+00, +2.98947368421e+00, +4.35789473684e+00, +4.90526315789e+00, +1.89473684211e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +0.00000000000e+00, +4.80441249389e+00
 +2.16842105263e+00, +2.71578947368e+00, +5.72631578947e+00, +4.35789473684e+00, +2.44210526316e+00, +4.35789473684e+00, +5.17894736842e+00, +5.45263157895e+00, +5.72631578947e+00, +2.71578947368e+00, +1.89473684211e+00, +8.00000000000e-01, +1.34736842105e+00, +2.71578947368e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +1.26315789474e+00, +5.14108062202e+00
 +5.45263157895e+00, +1.89473684211e+00, +4.35789473684e+00, +4.63157894737e+00, +2.71578947368e+00, +5.45263157895e+00, +6.00000000000e+00, +1.89473684211e+00, +2.98947368421e+00, +1.34736842105e+00, +5.45263157895e+00, +2.44210526316e+00, +3.53684210526e+00, +5.45263157895e+00, +4.60000000000e+00, +4.60000000000e+00, -1.00000000000e+07, +2.10526315789e-01, +5.56736166002e+00
